cge,run,chamber,cycle,Evo,EvoRep,Sex,TechRep,co2,o2,RER,FlyDead,FlyNum,NetWeight
hotcge,3,9,13,Cold,C2,Male,C,28.9510422762,31.882652765502,0.90804998219991,0,29,7.2
hotcge,3,9,14,Cold,C2,Male,C,29.875273315965,31.8228839955023,0.938798423178348,0,29,7.2
hotcge,3,10,2,Ancestral,A1,Male,B,32.554244047293,33.962034569616,0.958548109965636,0,30,7.3
hotcge,3,10,3,Ancestral,A1,Male,B,37.65252835485,38.420191680306,0.980019273931694,0,30,7.3
hotcge,3,10,4,Ancestral,A1,Male,B,23.7920322840984,23.8119153726667,0.999164994152836,0,30,7.3
hotcge,3,10,5,Ancestral,A1,Male,B,21.022293078672,21.669574686045,0.970129473386026,0,30,7.3
hotcge,3,10,6,Ancestral,A1,Male,B,19.0790851958124,19.971129174213,0.9553333228873,0,30,7.3
hotcge,3,10,7,Ancestral,A1,Male,B,17.100521291826,17.7551002280138,0.963132906726431,0,30,7.3
hotcge,3,10,8,Ancestral,A1,Male,B,22.0772051936964,24.6359077503165,0.896139302738409,0,30,7.3
hotcge,3,10,9,Ancestral,A1,Male,B,19.5515002505949,23.1302074742235,0.845279934145997,0,30,7.3
hotcge,3,10,10,Ancestral,A1,Male,B,16.9876150588512,19.046963458944,0.891880487693918,0,30,7.3
hotcge,3,10,11,Ancestral,A1,Male,B,17.5393003666437,18.3034752826005,0.958249736503142,0,30,7.3
hotcge,3,10,12,Ancestral,A1,Male,B,20.2511226473898,23.978625218883,0.844548945676926,0,30,7.3
hotcge,3,10,13,Ancestral,A1,Male,B,18.3057948777672,21.7483779058275,0.841708515321602,0,30,7.3
hotcge,3,10,14,Ancestral,A1,Male,B,18.345682090317,20.1818038617023,0.909020928755058,0,30,7.3
hotcge,3,12,2,Ancestral,A3,Male,A,18.6066867856266,19.793428731108,0.940043639654191,0,28,7
hotcge,3,12,3,Ancestral,A3,Male,A,30.36391433427,32.3027892933368,0.939978094725501,0,28,7
hotcge,3,12,4,Ancestral,A3,Male,A,28.921110506658,28.6044154646325,1.01107154391661,0,28,7
hotcge,3,12,5,Ancestral,A3,Male,A,19.620001427313,20.594076149388,0.952701217815787,0,28,7
hotcge,3,12,6,Ancestral,A3,Male,A,16.1969723328414,17.4970562625225,0.925696990958085,0,28,7
hotcge,3,12,7,Ancestral,A3,Male,A,16.2557008115289,18.6253852847318,0.872771250796867,0,28,7
hotcge,3,12,8,Ancestral,A3,Male,A,15.2462639699055,15.7373595346538,0.968794284475305,0,28,7
hotcge,3,12,9,Ancestral,A3,Male,A,14.6036623756152,16.447717831797,0.88788381007991,0,28,7
hotcge,3,12,10,Ancestral,A3,Male,A,15.531028260921,19.6455529255725,0.790562033034171,0,28,7
hotcge,3,12,11,Ancestral,A3,Male,A,19.156290521889,21.771686385762,0.879871691263044,0,28,7
hotcge,3,12,12,Ancestral,A3,Male,A,17.8392771358779,18.6054482909018,0.958820064797981,0,28,7
hotcge,3,12,13,Ancestral,A3,Male,A,16.139035673004,20.484722441355,0.787857180843328,0,28,7
hotcge,3,12,14,Ancestral,A3,Male,A,17.8195767622992,19.132875404811,0.931359055305322,0,28,7
hotcge,3,15,2,Cold,C2,Female,A,49.725569022876,52.358978387817,0.949704722169412,0,30,11.7
hotcge,3,15,3,Cold,C2,Female,A,49.895593100361,52.8846231560333,0.943480167252903,0,30,11.7
hotcge,3,15,4,Cold,C2,Female,A,49.31052900876,52.02173964537,0.947883122419738,0,30,11.7
hotcge,3,15,5,Cold,C2,Female,A,49.706138797764,50.903637947286,0.976475175492131,0,30,11.7
hotcge,3,15,6,Cold,C2,Female,A,48.4465246629,49.22241239994,0.98423710461942,0,30,11.7
hotcge,3,15,7,Cold,C2,Female,A,50.209957044855,51.602164419615,0.973020368614019,0,30,11.7
hotcge,3,15,8,Cold,C2,Female,A,48.617631278628,51.17946922656,0.949944030552734,0,30,11.7
hotcge,3,15,9,Cold,C2,Female,A,48.79270500615,51.3800193222,0.949643570590638,0,30,11.7
hotcge,3,15,10,Cold,C2,Female,A,49.126050760695,50.8088708320635,0.966879404249493,0,30,11.7
hotcge,3,15,11,Cold,C2,Female,A,48.4152284649,48.804398959275,0.992025913592343,0,30,11.7
hotcge,3,15,12,Cold,C2,Female,A,48.831537164067,50.4681595081808,0.967571190230378,0,30,11.7
hotcge,3,15,13,Cold,C2,Female,A,49.201414874748,49.592303082522,0.992117966227066,0,30,11.7
hotcge,3,15,14,Cold,C2,Female,A,48.78585260343,48.30637465206,1.00992576973171,0,30,11.7
hotcge,4,1,2,Hot,H3,Male,C,19.9363856441634,21.2500867145535,0.938179025430028,0,27,6.7
hotcge,4,1,3,Hot,H3,Male,C,27.290108512818,28.3911487766363,0.961218889997001,0,27,6.7
hotcge,4,1,4,Hot,H3,Male,C,31.92768436572,32.8965509933775,0.970548078798518,0,27,6.7
hotcge,4,1,5,Hot,H3,Male,C,20.7729852522768,21.812911340292,0.952325204472166,0,27,6.7
hotcge,4,1,6,Hot,H3,Male,C,19.2717063513759,20.9710467248775,0.918967307841353,0,27,6.7
hotcge,4,1,7,Hot,H3,Male,C,17.05930466058,18.33044180763,0.930654309351077,0,27,6.7
hotcge,4,1,8,Hot,H3,Male,C,15.4802337774894,17.246703902997,0.897576363840708,0,27,6.7
hotcge,4,1,9,Hot,H3,Male,C,15.3172246475403,17.8495270048305,0.85813056241743,0,27,6.7
hotcge,4,1,10,Hot,H3,Male,C,17.0299109458599,19.5087206000033,0.872938379457701,0,27,6.7
hotcge,4,1,11,Hot,H3,Male,C,18.1859508935712,20.841067398024,0.872601702506632,0,27,6.7
hotcge,4,1,12,Hot,H3,Male,C,19.738757458362,21.1978384188555,0.931168408228093,0,27,6.7
hotcge,4,1,13,Hot,H3,Male,C,20.2065798335544,22.089813773058,0.914746499954631,0,27,6.7
hotcge,4,1,14,Hot,H3,Male,C,21.521188695942,22.5601343730983,0.953947717687571,0,27,6.7
hotcge,4,6,2,Cold,C2,Male,A,40.4299046133,41.8510053594,0.96604380865176,1,28,6.5
hotcge,4,6,3,Cold,C2,Male,A,27.82697551128,30.16839863034,0.922388219946641,1,28,6.5
hotcge,4,6,4,Cold,C2,Male,A,19.1639238658899,20.535888643824,0.933191847612267,1,28,6.5
hotcge,4,6,5,Cold,C2,Male,A,19.1439743050917,20.867128790952,0.917422540344532,1,28,6.5
hotcge,4,6,6,Cold,C2,Male,A,17.4708698259156,18.760140731097,0.931276053646853,1,28,6.5
hotcge,4,6,7,Cold,C2,Male,A,15.7550647845528,17.040395083383,0.924571567000604,1,28,6.5
hotcge,4,6,8,Cold,C2,Male,A,15.4848103970658,16.3653357540315,0.946195704738365,1,28,6.5
hotcge,4,6,9,Cold,C2,Male,A,17.0404736393286,19.3389487347398,0.88114787794632,1,28,6.5
hotcge,4,6,10,Cold,C2,Male,A,15.3228207115593,18.122665386537,0.845505911229942,1,28,6.5
hotcge,4,6,11,Cold,C2,Male,A,20.0001466017528,21.170298522324,0.944726716095322,1,28,6.5
hotcge,4,6,12,Cold,C2,Male,A,18.9434612549358,21.534315489753,0.879687179467114,1,28,6.5
